,title,revenue,user_rating,votes,year,source,genre,director,runtime_in_minutes
379,Black Narcissus,,88,"5,000+ Ratings",1947,RT,Drama,"['Michael Powell', 'Emeric Pressburger']",100
381,Great Expectations (1946 film),,88,"5,000+ Ratings",1946,RT,Drama,['David Lean'],118
308,The Taking of Pelham One Two Three (1974 film),0.18,88,"5,000+ Ratings",1974,RT,Mystery &amp; thriller,['Joseph Sargent'],104
304,The Many Adventures of Winnie the Pooh,89.07,88,"25,000+ Ratings",1977,RT,Family,"['John Lounsbery', 'Wolfgang Reithermann']",74
17,Free Chol Soo Lee,0.14,88,Fewer than 50 Ratings,2022,RT,Documentary,"['Julie Ha', 'Eugene Yi']",83
210,Everything or Nothing (film),6.13,87,500+ Ratings,2012,RT,Documentary,['Stevan Riley'],98
336,Victim (1961 film),,87,"1,000+ Ratings",1961,RT,Mystery &amp; thriller,['Basil Dearden'],100
353,The Ladykillers (1955 film),,87,"10,000+ Ratings",1955,RT,Comedy,['Alexander Mackendrick'],90
420,The Man Who Laughs (1928 film),,87,"1,000+ Ratings",1928,RT,Drama,['Paul Leni'],124
374,Red River (1948 film),,87,"5,000+ Ratings",1948,RT,Western,['Howard Hawks'],133
327,El Dorado (1966 film),142.11,87,"10,000+ Ratings",1966,RT,Western,['Howard Hawks'],126
408,Pépé le Moko,8.54,87,"1,000+ Ratings",1937,RT,Drama,['Julien Duvivier'],94
257,My Voyage to Italy,900.54,87,"2,500+ Ratings",1999,RT,Documentary,['Martin Scorsese'],246
281,A Grand Day Out,0.06,87,"10,000+ Ratings",1989,RT,Animation,['Nick Park'],23
258,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",34.93,87,"2,500+ Ratings",1999,RT,Documentary,['Errol Morris'],90
384,Meet Me in St. Louis,,87,"25,000+ Ratings",1944,RT,Musical,['Vincente Minnelli'],113
233,Last Train Home (film),8.58,87,"5,000+ Ratings",2009,RT,Documentary,['Lixin Fan'],85
127,Signature Move,9.47,87,100+ Ratings,2017,RT,Comedy,['Jennifer Reeder'],80
255,Toy Story 2,,87,"250,000+ Ratings",1999,RT,Family,"['Ash Brannon', 'John Lasseter', 'Lee Unkrich']",92
238,Man on Wire,,87,"25,000+ Ratings",2008,RT,Documentary,['James Marsh'],90
294,Local Hero (film),26.53,87,"5,000+ Ratings",1983,RT,Comedy,['Bill Forsyth'],110
145,The Work (film),0.14,86,500+ Ratings,2017,RT,Documentary,"['Jairus McLeary', 'Gethin Aldous']",87
221,Poetry (film),0.22,86,"5,000+ Ratings",2011,RT,Drama,['Lee Chang-dong'],139
402,Stagecoach (1939 film),,86,"10,000+ Ratings",1939,RT,Western,['John Ford'],96
391,Holiday Inn (film),,86,"10,000+ Ratings",1942,RT,Holiday,['Mark Sandrich'],101
367,Winchester '73,,86,"5,000+ Ratings",1950,RT,Western,['Anthony Mann'],92
330,Au Hasard Balthazar,,86,"5,000+ Ratings",1966,RT,Drama,['Robert Bresson'],90
354,French Cancan,,86,500+ Ratings,1955,RT,Musical,['Jean Renoir'],102
378,Odd Man Out,13.66,86,"1,000+ Ratings",1947,RT,Mystery &amp; thriller,['Carol Reed'],115
380,My Darling Clementine,82.57,86,"5,000+ Ratings",1946,RT,Western,['John Ford'],97
220,We Were Here (film),3.32,86,"2,500+ Ratings",2011,RT,Documentary,"['David Weissman', 'Bill Weber']",90
173,Don't Think I've Forgotten,20.02,86,100+ Ratings,2015,RT,Documentary,['John Pirozzi'],105
169,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,19.34,86,500+ Ratings,2016,RT,Documentary,"['Alexis Bloom', 'Fisher Stevens']",95
203,Cultural depictions of Matthew Shepard,0.74,86,500+ Ratings,2013,RT,Documentary,['Michele Josue'],89
366,The Lavender Hill Mob,,86,"5,000+ Ratings",1951,RT,Comedy,['Charles Crichton'],78
181,"3 1/2 Minutes, 10 Bullets",0.04,86,500+ Ratings,2015,RT,Documentary,['Marc Silver'],98
357,Touchez pas au grisbi,,86,"1,000+ Ratings",1954,RT,Crime,['Jacques Becker'],95
239,Pray the Devil Back to Hell,,86,"1,000+ Ratings",2008,RT,Documentary,['Gini Reticker'],72
55,Mayor (film),0.9,86,Fewer than 50 Ratings,2020,RT,Documentary,[],89
244,Kenny (2006 film),17.75,86,"5,000+ Ratings",2006,RT,Comedy,['Clayton Jacobson'],100
268,Searching for Bobby Fischer,,86,"10,000+ Ratings",1993,RT,Biography,['Steven Zaillian'],110
235,Dreams with Sharp Teeth,8.88,85,500+ Ratings,2008,RT,Documentary,['Erik Nelson'],96
110,United Skates,45.73,85,Fewer than 50 Ratings,2018,RT,Documentary,"['Dyana Winkler', 'Tina Brown']",90
229,Enemies of the People (film),,85,500+ Ratings,2010,RT,Documentary,"['Rob Lemkin', 'Thet Sambath']",93
226,Thunder Soul (film),0.1,85,500+ Ratings,2010,RT,Documentary,['Mark Landsman'],88
419,Un Chien Andalou,,85,"10,000+ Ratings",1929,RT,Drama,['Luis Buñuel'],16
222,Everyday Sunshine: The Story of Fishbone,0.24,85,"1,000+ Ratings",2011,RT,Documentary,"['Lev Anderson', 'Chris Metzler']",107
364,Les Vacances de Monsieur Hulot,,85,"5,000+ Ratings",1953,RT,Comedy,['Jacques Tati'],85
236,Sita Sings the Blues,,85,"2,500+ Ratings",2008,RT,Fantasy,['Nina Paley'],82
136,Earth: One Amazing Day,133.99,85,100+ Ratings,2017,RT,Documentary,"['Richard Dale', 'Peter Webber', 'Lixin Fan']",95
284,Vagabond (1985 film),77.62,85,"1,000+ Ratings",1985,RT,Drama,['Agnès Varda'],105
390,Gentleman Jim (film),,85,500+ Ratings,1941,RT,Action,['Raoul Walsh'],104
373,Letter from an Unknown Woman (1948 film),,85,"2,500+ Ratings",1948,RT,Romance,['Max Ophuls'],90
34,Three Minutes: A Lengthening,,85,Fewer than 50 Ratings,2021,RT,Documentary,['Bianca Stigter'],69
160,Off the Rails (2016 film),0.28,85,100+ Ratings,2016,RT,Documentary,['Adam Irving'],86
288,A Room with a View (1985 film),39.18,85,"25,000+ Ratings",1985,RT,Drama,['James Ivory'],115
322,Dragon Inn,,85,100+ Ratings,1967,RT,Action,['King Hu'],111
132,King Cohen: The Wild World of Filmmaker Larry Cohen,133.99,84,50+ Ratings,2017,RT,Documentary,['Steve Mitchell'],110
209,Fifi Howls from Happiness,0.36,84,100+ Ratings,2012,RT,Documentary,['Mitra Farahani'],97
60,76 Days,0.9,84,Fewer than 50 Ratings,2020,RT,Documentary,"['Hao Wu', 'Weixi Chen']",93
297,The Decline of Western Civilization,,84,"2,500+ Ratings",1981,RT,Documentary,['Penelope Spheeris'],100
372,Oliver Twist (1948 film),54.11,84,"5,000+ Ratings",1948,RT,Drama,['David Lean'],105
115,The Bleeding Edge,,84,250+ Ratings,2018,RT,Documentary,['Kirby Dick'],99
227,Nostalgia for the Light,0.1,84,"2,500+ Ratings",2010,RT,Documentary,['Patricio Guzmán'],90
339,Classe Tous Risques,,84,500+ Ratings,1960,RT,Mystery &amp; thriller,['Claude Sautet'],110
271,Incident at Oglala,18.3,84,500+ Ratings,1992,RT,Documentary,['Michael Apted'],89
293,Broadway Danny Rose,25.63,84,"5,000+ Ratings",1984,RT,Comedy,['Woody Allen'],86
106,The Silence of Others,1.56,84,Fewer than 50 Ratings,2018,RT,Documentary,"['Robert Bahar', 'Almudena Carracedo']",96
324,Branded to Kill,,84,"5,000+ Ratings",1967,RT,Mystery &amp; thriller,['Seijun Suzuki'],91
84,Coup 53,0.03,84,Fewer than 50 Ratings,2019,RT,Documentary,['Taghi Amirani'],118
22,Attica (2021 film),0.02,84,50+ Ratings,2021,RT,Documentary,"['Stanley Nelson', 'Traci Curry']",116
311,Fat City (film),,84,"1,000+ Ratings",1972,RT,Drama,['John Huston'],96
131,Wajib (film),133.99,84,50+ Ratings,2017,RT,Drama,['Annemarie Jacir'],96
417,The Public Enemy,13.19,84,"5,000+ Ratings",1931,RT,Crime,['William A. Wellman'],84
165,California Typewriter,19.34,83,250+ Ratings,2016,RT,Documentary,['Doug Nichol'],103
266,Bandit Queen,1.46,83,"2,500+ Ratings",1994,RT,Drama,['Shekhar Kapur'],121
368,Jour de fête,,83,"2,500+ Ratings",1949,RT,Comedy,['Jacques Tati'],80
392,Here Comes Mr. Jordan,,83,"1,000+ Ratings",1941,RT,Fantasy,['Alexander Hall'],93
134,Summer 1993,133.99,83,500+ Ratings,2017,RT,Drama,['Carla Simón'],98
343,King Creole,7.21,83,"5,000+ Ratings",1958,RT,Musical,['Michael Curtiz'],116
27,The Witcher: Nightmare of the Wolf,6.0,83,500+ Ratings,2021,RT,Fantasy,['Kwang-Il Han'],83
247,Fireworks Wednesday,0.01,83,"1,000+ Ratings",2006,RT,Drama,['Asghar Farhadi'],104
7,No Bears,0.32,83,Fewer than 50 Ratings,2022,RT,Drama,['Jafar Panahi'],107
254,Hukkle,,83,"1,000+ Ratings",2002,RT,Mystery &amp; thriller,['Gyorgy Palfi'],77
264,Maborosi,19.04,83,"1,000+ Ratings",1995,RT,Mystery &amp; thriller,['Hirokazu Koreeda'],109
53,A Crime on the Bayou,0.9,83,Fewer than 50 Ratings,2020,RT,Documentary,['Nancy Buirski'],91
346,Desk Set,,83,"5,000+ Ratings",1957,RT,Romance,['Walter Lang'],103
46,"Acasă, My Home",0.64,83,Fewer than 50 Ratings,2020,RT,Documentary,['Radu Ciorniciuc'],86
156,The Age of Shadows,0.07,83,"1,000+ Ratings",2016,RT,Action,['Kim Jee-woon'],140
